#=======================================================================================================================
# InTensors - SIDT mixture SELFIES dataset (CVWSR-style)
#=======================================================================================================================
#
# Author           : Nimal Naser (n2[ⓐⓣ]intensors.com)
# Company          : InTensors
# Version          : 1.0.0
# Created on       : 15 July 2026
# Last modified on : 15 July 2026
#
#-----------------------------------------------------------------------------------------------------------------------
#
#-----------------------------------------------------------------------------------------------------------------------
#
#
#-----------------------------------------------------------------------------------------------------------------------
# Changelog
#-----------------------------------------------------------------------------------------------------------------------
#
#-----------------------------------------------------------------------------------------------------------------------
# Information
#-----------------------------------------------------------------------------------------------------------------------
# Mixture           : ethane
# Mixture ID        : CHTA_MXTR_A0_025187
# Source: cheetah_simulated_ignition_delay.dat joined with
# cheetah_mixture_composition.dat and cheetah_materials.dat (SELFIES).
# Filter: all mixtures with >=1 identified component (or materials
# fallback for pure components); main IDT (idt_s) only.
# cpnt_vol_*: volume fraction (0-1) from mixture_comp_vol (%).
# idt_s: main IDT in seconds (sidt_ignition_delay ms / 1000).
# egr_fraction: sidt_egr (%) / 100.
# Unused cpnt_selfies_* slots are NaN; unused cpnt_vol_* are 0.
# Source file SHA-256:
# sha256:3eaef5912e280616d24f834c30efec6399f3c743ef085fe43b5cf500787d4b3f  database/cheetah/cheetah_simulated_ignition_delay.dat
# sha256:0b65a4a2dc572bdff5e1806c873cf0c9b926bef4eddea53bf148e5072f95c576  database/cheetah/cheetah_mixture_composition.dat
# sha256:d8ef4eef78e3933c78af8c1290747e1965442dd64cfde57ef57e1d8b118ddee4  database/cheetah/cheetah_materials.dat
# sha256:670e46f8f73e689449b19f4097a50a47cd4ddb89694e228a75024669f59f9a28  database/cheetah/cheetah_mixture.dat
# Source commits:
# git:ef0c5f8c51eff8252b075b6a00da5ca4b3c2e020  database/cheetah/cheetah_simulated_ignition_delay.dat
# git:d85ff2d9701a46efd8a3e2d0bfed3ccf3c4b6ffe  database/cheetah/cheetah_mixture_composition.dat
# git:aaea579f182ca4ab92208d8a8a3e79993383e83a  database/cheetah/cheetah_materials.dat
# git:ef0c5f8c51eff8252b075b6a00da5ca4b3c2e020  database/cheetah/cheetah_mixture.dat
#
#-----------------------------------------------------------------------------------------------------------------------
# Data
#-----------------------------------------------------------------------------------------------------------------------
sidt_id	mixture_id	mixture_name	model_name	mixture_type	cpnt_selfies_1	cpnt_selfies_2	cpnt_selfies_3	cpnt_selfies_4	cpnt_selfies_5	cpnt_selfies_6	cpnt_selfies_7	cpnt_selfies_8	cpnt_selfies_9	cpnt_selfies_10	cpnt_vol_1	cpnt_vol_2	cpnt_vol_3	cpnt_vol_4	cpnt_vol_5	cpnt_vol_6	cpnt_vol_7	cpnt_vol_8	cpnt_vol_9	cpnt_vol_10	pressure_bar	temperature_K	phi	egr_fraction	idt_s	sidt_sim_date
CHTA_SIDT_A0_011664	CHTA_MXTR_A0_025187	ethane	maffei2025modeling	pure component	[C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E+01	7.000000E+02	5.000000E-01	0.000000E+00	6.475815E+01	2026-07-15T11:33:58Z
CHTA_SIDT_A0_011665	CHTA_MXTR_A0_025187	ethane	maffei2025modeling	pure component	[C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E+01	7.100000E+02	5.000000E-01	0.000000E+00	4.297396E+01	2026-07-15T11:33:58Z
CHTA_SIDT_A0_011666	CHTA_MXTR_A0_025187	ethane	maffei2025modeling	pure component	[C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E+01	7.200000E+02	5.000000E-01	0.000000E+00	2.884452E+01	2026-07-15T11:33:58Z
CHTA_SIDT_A0_011667	CHTA_MXTR_A0_025187	ethane	maffei2025modeling	pure component	[C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E+01	7.300000E+02	5.000000E-01	0.000000E+00	1.957333E+01	2026-07-15T11:33:58Z
CHTA_SIDT_A0_011668	CHTA_MXTR_A0_025187	ethane	maffei2025modeling	pure component	[C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E+01	7.400000E+02	5.000000E-01	0.000000E+00	1.342201E+01	2026-07-15T11:33:58Z
CHTA_SIDT_A0_011669	CHTA_MXTR_A0_025187	ethane	maffei2025modeling	pure component	[C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E+01	7.500000E+02	5.000000E-01	0.000000E+00	9.296932E+00	2026-07-15T11:33:58Z
CHTA_SIDT_A0_011670	CHTA_MXTR_A0_025187	ethane	maffei2025modeling	pure component	[C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E+01	7.600000E+02	5.000000E-01	0.000000E+00	6.502173E+00	2026-07-15T11:33:58Z
CHTA_SIDT_A0_011671	CHTA_MXTR_A0_025187	ethane	maffei2025modeling	pure component	[C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E+01	7.700000E+02	5.000000E-01	0.000000E+00	4.588698E+00	2026-07-15T11:33:58Z
CHTA_SIDT_A0_011672	CHTA_MXTR_A0_025187	ethane	maffei2025modeling	pure component	[C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E+01	7.800000E+02	5.000000E-01	0.000000E+00	3.266824E+00	2026-07-15T11:33:58Z
CHTA_SIDT_A0_011673	CHTA_MXTR_A0_025187	ethane	maffei2025modeling	pure component	[C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.000000E+01	7.900000E+02	5.000000E-01	0.000000E+00	2.345628E+00	2026-07-15T11:33:58Z
